component,component_path,joint,kind,type,occurrence_one,occurrence_two,origin_x_mm,origin_y_mm,origin_z_mm,axis_x,axis_y,axis_z,min,max,value,units,min_deg,max_deg,value_deg,min_mm,max_mm,value_mm,is_suppressed,note
humanoid_2.1_latest,,Rigid 8,joint,rigid,v2.1_lower_body_latest:1+Robstride 03 - no back cover:1+3_1_02_090_0073_ASM_1_1_ASM:1+1_1_31_QT-942_1:1,body_LATEST:1+CNC_body01_x1_bottom_plate:1,45.27,18.751,6.0,,,,,,,,,,,,,,False,
humanoid_2.1_latest,,Rigid 12,joint,rigid,000_right_arm_long_wrist_latest:1+Robstride 03 - full:1+3_1_02_090_0073_ASM_1_1_ASM:1+1_1_06_EB903-534_ASM_1_1_ASM:1+1_1_06_EB903-537_1_1:1,body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:3+half-bearing-45x58x7_6809_5.4kN_40g:2,-0.0,-83.0,347.5,,,,,,,,,,,,,,False,
humanoid_2.1_latest,,Rigid 13,joint,rigid,body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:2+half-bearing-45x58x7_6809_5.4kN_40g:1,body_LATEST:1+CNC_body02_x2_side_plate:1,-0.0,90.0,347.5,,,,,,,,,,,,,,False,
humanoid_2.1_latest,,Rigid 14,joint,rigid,dovetail_umi_gripper:2+base:1,000_left_arm_long_wrist_latest:1+001_left_wrist_long_latest:1+v15_right_end_effector_attachment:1,-18.0,305.645,-147.537,,,,,,,,,,,,,,False,
humanoid_2.1_latest,,Rigid 15,joint,rigid,000_right_arm_long_wrist_latest:1+001_right_wrist_long_latest:1+v15_right_end_effector_attachment:1,dovetail_umi_gripper:1+base:1,18.0,-305.645,-147.537,,,,,,,,,,,,,,False,
power_block_casing,body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5,Rigid 1,joint,rigid,6x10-7holes:1+block:1,casing:1,8.7,21.75,5.2,,,,,,,,,,,,,,False,
power_block_casing,body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5,Rigid 2,joint,rigid,6x10-7holes:2+block:1,casing:1,-8.7,21.75,5.2,,,,,,,,,,,,,,False,
Vention USB Hub,body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1,Rigid 1,joint,rigid,USB Straight:1,Hub:1,37.75,-1.625,-0.0,,,,,,,,,,,,,,False,
Vention USB Hub,body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1,Rigid 2,joint,rigid,USB Straight:2,Hub:1,58.5,-1.625,-0.0,,,,,,,,,,,,,,False,
CAN_Isolated,body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:1,Rigid 1,joint,rigid,USB-C Cable:1,,-25.5,0.0,6.375,,,,,,,,,,,,,,False,
IMU_syd_dynamics_TM171,body_LATEST:1+3DP_body_05_x1_interior_plate:1+IMU_syd_dynamics_TM171:4,Rigid 1,joint,rigid,Component2:1,Component1:1,-9.5,15.0,3.3,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 4,joint,rigid,3DP_body_05_x1_interior_plate:1+battery_zeee_10000mah:2,3DP_body_05_x1_interior_plate:1+battery_zeee_10000mah:1,-34.0,-0.0,137.5,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 12,joint,rigid,3DP_body_05_x1_interior_plate:1+battery_zeee_10000mah:1,3DP_body_05_x1_interior_plate:1,-9.5,-31.5,55.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 22,joint,rigid,3DP_body_05_x1_interior_plate:1+150A relay:1,3DP_body_05_x1_interior_plate:1,-20.0,0.0,242.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 72,joint,rigid,3DP_body_05_x1_interior_plate:1+battery_tester:1,3DP_body_05_x1_interior_plate:1,-20.0,-62.5,294.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 73,joint,rigid,3DP_body_05_x1_interior_plate:1+battery_tester:2,3DP_body_05_x1_interior_plate:1,-20.0,62.5,294.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 74,joint,rigid,3DP_body_05_x1_interior_plate:1+power_block_casing:5+casing:1,3DP_body_05_x1_interior_plate:1,-9.0,-0.0,318.5,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 78,joint,rigid,3DP_body_05_x1_interior_plate:1+power_block_long:2+casing:1,3DP_body_05_x1_interior_plate:1,-45.1,0.0,42.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 79,joint,rigid,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,3DP_body_05_x1_interior_plate:1,-38.375,-71.75,15.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 81,joint,rigid,,3DP_body_05_x1_interior_plate:1,,,,,,,,,,,,,,,,,False,origin unreadable
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 84,joint,rigid,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,3DP_body_05_x1_interior_plate:1,-38.375,71.75,15.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 94,joint,rigid,3DP_body_05_x1_interior_plate:1+MINISFORUM AI X1:1,3DP_body_05_x1_interior_plate:1,-4.0,-0.0,133.25,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 95,joint,rigid,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,3DP_body_05_x1_interior_plate:1,-22.0,-65.5,10.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 96,joint,rigid,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,3DP_body_05_x1_interior_plate:1,-22.0,65.5,10.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 97,joint,rigid,3DP_body_05_x1_interior_plate:1+USB-C Cable:1,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,-12.375,-71.75,135.25,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 98,joint,rigid,3DP_body_05_x1_interior_plate:1+USB-C Cable:2,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,-12.375,-71.75,119.25,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 99,joint,rigid,3DP_body_05_x1_interior_plate:1+USB-C Cable:3,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,-12.375,71.75,135.25,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 100,joint,rigid,3DP_body_05_x1_interior_plate:1+USB-C Cable:4,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,-12.375,71.75,119.25,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 101,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:1,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,-17.625,-71.75,103.5,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 102,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:2,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,-17.625,-71.75,84.125,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 103,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:3,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,-17.625,-71.75,64.75,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 104,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:4,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,-17.625,-71.75,45.375,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 105,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:5,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,-17.625,-71.75,26.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 106,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:6,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,-17.625,71.75,103.5,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 107,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:7,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,-17.625,71.75,84.125,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 108,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:8,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,-17.625,71.75,64.75,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 109,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:9,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,-17.625,71.75,45.375,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 110,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:10,3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:2,-17.625,71.75,26.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 111,joint,rigid,3DP_body_05_x1_interior_plate:1+USB-C Cable:5,3DP_body_05_x1_interior_plate:1+MINISFORUM AI X1:1,23.5,-20.0,76.15,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 112,joint,rigid,3DP_body_05_x1_interior_plate:1+USB Straight:11,3DP_body_05_x1_interior_plate:1+MINISFORUM AI X1:1,23.5,0.0,82.65,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 113,joint,rigid,3DP_body_05_x1_interior_plate:1+USB-C Cable:6,3DP_body_05_x1_interior_plate:1+MINISFORUM AI X1:1,18.5,20.0,190.35,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 114,joint,rigid,3DP_body_05_x1_interior_plate:1+CAN_Isolated:1,3DP_body_05_x1_interior_plate:1,-38.0,71.75,222.5,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 115,joint,rigid,3DP_body_05_x1_interior_plate:1+CAN_Isolated:2,3DP_body_05_x1_interior_plate:1,-38.0,-71.75,222.5,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 116,joint,rigid,3DP_body_05_x1_interior_plate:1+CAN_Isolated:3,3DP_body_05_x1_interior_plate:1,-9.75,63.5,30.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 117,joint,rigid,3DP_body_05_x1_interior_plate:1+CAN_Isolated:4,3DP_body_05_x1_interior_plate:1,-9.75,-63.5,30.0,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 119,joint,rigid,3DP_body_05_x1_interior_plate:1+Vention USB Hub:1+Hub:1,3DP_body_05_x1_interior_plate:1+MINISFORUM AI X1:1,46.0,0.0,23.25,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 120,joint,rigid,3DP_body_05_x1_interior_plate:1+CAN_Isolated:9,3DP_body_05_x1_interior_plate:1,-38.0,71.75,262.5,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 121,joint,rigid,3DP_body_05_x1_interior_plate:1+CAN_Isolated:10,3DP_body_05_x1_interior_plate:1,-38.0,-71.75,262.5,,,,,,,,,,,,,,False,
3DP_body_05_x1_interior_plate,body_LATEST:1+3DP_body_05_x1_interior_plate:1,Rigid 122,joint,rigid,3DP_body_05_x1_interior_plate:1+lumped_wires:1,3DP_body_05_x1_interior_plate:1+MINISFORUM AI X1:1,6.0,0.0,313.25,,,,,,,,,,,,,,False,
3DP_body_07_x1_front_plate_removable,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,Rigid 1,joint,rigid,3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:9,3DP_body_07_x1_front_plate_removable:1,61.5,71.298,307.5,,,,,,,,,,,,,,False,
3DP_body_07_x1_front_plate_removable,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,Rigid 2,joint,rigid,3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:10,3DP_body_07_x1_front_plate_removable:1,61.5,71.298,227.5,,,,,,,,,,,,,,False,
3DP_body_07_x1_front_plate_removable,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,Rigid 3,joint,rigid,3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:11,3DP_body_07_x1_front_plate_removable:1,61.5,71.298,147.5,,,,,,,,,,,,,,False,
3DP_body_07_x1_front_plate_removable,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,Rigid 4,joint,rigid,3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:12,3DP_body_07_x1_front_plate_removable:1,61.5,71.298,67.5,,,,,,,,,,,,,,False,
3DP_body_07_x1_front_plate_removable,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,Rigid 5,joint,rigid,3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:13,3DP_body_07_x1_front_plate_removable:1,61.5,-71.298,307.5,,,,,,,,,,,,,,False,
3DP_body_07_x1_front_plate_removable,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,Rigid 6,joint,rigid,3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:14,3DP_body_07_x1_front_plate_removable:1,61.5,-71.298,227.5,,,,,,,,,,,,,,False,
3DP_body_07_x1_front_plate_removable,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,Rigid 7,joint,rigid,3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:15,3DP_body_07_x1_front_plate_removable:1,61.5,-71.298,147.5,,,,,,,,,,,,,,False,
3DP_body_07_x1_front_plate_removable,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,Rigid 8,joint,rigid,3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:16,3DP_body_07_x1_front_plate_removable:1,61.5,-71.298,67.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 2,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:1,3DP_body_09_x1_back_plate_removable:1,-61.5,-71.298,67.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 3,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:2,3DP_body_09_x1_back_plate_removable:1,-61.5,-71.298,147.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 4,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:3,3DP_body_09_x1_back_plate_removable:1,-61.5,-71.298,227.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 5,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:4,3DP_body_09_x1_back_plate_removable:1,-61.5,-71.298,307.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 6,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:5,3DP_body_09_x1_back_plate_removable:1,-61.5,71.298,307.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 7,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:6,3DP_body_09_x1_back_plate_removable:1,-61.5,71.298,227.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 8,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:7,3DP_body_09_x1_back_plate_removable:1,-61.5,71.298,147.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 9,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:8,3DP_body_09_x1_back_plate_removable:1,-61.5,71.298,67.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 19,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:18,3DP_body_09_x1_back_plate_removable:1,-61.5,30.0,227.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 35,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:23,3DP_body_09_x1_back_plate_removable:1,-61.5,-30.0,227.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 36,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:31,3DP_body_09_x1_back_plate_removable:1,-61.5,30.0,147.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 37,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:32,3DP_body_09_x1_back_plate_removable:1,-61.5,-30.0,147.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 38,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:33,3DP_body_09_x1_back_plate_removable:1,-61.5,30.0,67.5,,,,,,,,,,,,,,False,
3DP_body_09_x1_back_plate_removable,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,Rigid 39,joint,rigid,3DP_body_09_x1_back_plate_removable:1+magnet_1/2inD_1/16inT:34,3DP_body_09_x1_back_plate_removable:1,-61.5,-30.0,67.5,,,,,,,,,,,,,,False,
bearing_45x58x7_6809_5.4kN_40g,body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:2,Rigid 1,as_built,rigid,half-bearing-45x58x7_6809_5.4kN_40g:2,half-bearing-45x58x7_6809_5.4kN_40g:1,,,,,,,,,,,,,,,,,False,origin unreadable
schematics,body_LATEST:1+twincities_v2_nolock:1+schematics:1,Rigid 1,joint,rigid,twincities_v2_nolock:1+schematics:1+robstride05_cross_section:1,twincities_v2_nolock:1+schematics:1,,,,,,,,,,,,,,,,,False,origin unreadable
schematics,body_LATEST:1+twincities_v2_nolock:1+schematics:1,Rigid 2,joint,rigid,twincities_v2_nolock:1+schematics:1+robstride05_cross_section:2,twincities_v2_nolock:1+schematics:1,,,,,,,,,,,,,,,,,False,origin unreadable
robstride05 v16 (2),body_LATEST:1+twincities_v2_nolock:1+robstride05 v16 (2):1,Revolute 2,joint,revolute,twincities_v2_nolock:1+robstride05 v16 (2):1+1_1_30_GR-2202_ASM^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1,twincities_v2_nolock:1+robstride05 v16 (2):1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE (2):1+1_1_06_EB463-507^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1,,,,-0.0,0.0,1.0,,,2.740167,rad,,,157.0,,,,False,origin unreadable
robstride05 v16 (2),body_LATEST:1+twincities_v2_nolock:1+robstride05 v16 (2):1,Rigid 1,joint,rigid,twincities_v2_nolock:1+robstride05 v16 (2):1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE (2):1+1_1_31_EB463-510^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1,twincities_v2_nolock:1+robstride05 v16 (2):1,,,,,,,,,,,,,,,,,False,origin unreadable
robstride05 v16 (1),body_LATEST:1+twincities_v2_nolock:1+robstride05 v16 (1):1,Revolute 2,joint,revolute,twincities_v2_nolock:1+robstride05 v16 (1):1+1_1_30_GR-2202_ASM^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (1):1,twincities_v2_nolock:1+robstride05 v16 (1):1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE (1):1+1_1_06_EB463-507^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (1):1,,,,-0.0,1.0,0.0,,,0.0,rad,,,0.0,,,,False,origin unreadable
robstride05 v16 (1),body_LATEST:1+twincities_v2_nolock:1+robstride05 v16 (1):1,Rigid 1,joint,rigid,twincities_v2_nolock:1+robstride05 v16 (1):1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE (1):1+1_1_31_EB463-510^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (1):1,twincities_v2_nolock:1+robstride05 v16 (1):1,,,,,,,,,,,,,,,,,False,origin unreadable
IntelRealsense_D435_Multibody v9,body_LATEST:1+twincities_v2_nolock:1+IntelRealsense_D435_Multibody v9:1,Rigid 2,joint,rigid,twincities_v2_nolock:1+IntelRealsense_D435_Multibody v9:1+Component35:1,twincities_v2_nolock:1+IntelRealsense_D435_Multibody v9:1,,,,,,,,,,,,,,,,,False,origin unreadable
twincities_v2_nolock,body_LATEST:1+twincities_v2_nolock:1,Rigid 2,joint,rigid,twincities_v2_nolock:1+schematics:1,twincities_v2_nolock:1,,,,,,,,,,,,,,,,,False,origin unreadable
twincities_v2_nolock,body_LATEST:1+twincities_v2_nolock:1,Rigid 3,joint,rigid,twincities_v2_nolock:1+robstride05 v16 (2):1+FL46BLW10-48V-5N.m-DE(2)^FL46BLW10-48V-5N.m-DE (2):1+1_1_06_EB463-509^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1,twincities_v2_nolock:1+schematics:1+robstride05_cross_section:1,,,,,,,,,,,,,,,,,False,origin unreadable
twincities_v2_nolock,body_LATEST:1+twincities_v2_nolock:1,Rigid 10,joint,rigid,twincities_v2_nolock:1+gimbal_mount:1,twincities_v2_nolock:1+schematics:1+robstride05_cross_section:1,,,,,,,,,,,,,,,,,False,origin unreadable
twincities_v2_nolock,body_LATEST:1+twincities_v2_nolock:1,Revolute 11,joint,revolute,twincities_v2_nolock:1+gimbal_neck:1,twincities_v2_nolock:1+robstride05 v16 (2):1+1_1_30_GR-2202_ASM^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1+1_1_30_GR-2202_ASM_1_ASM^1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1+00MINI-_20250103_A0001_ASM_1_AS_ASM^1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1+00MINI-000_ASM_1_ASM_1_ASM^00MINI-_20250103_A0001_ASM_1_AS_ASM_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1+0001755650^00MINI-000_ASM_1_ASM_1_ASM_00MINI-_20250103_A0001_ASM_1_AS_ASM_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1,,,,-0.0,0.0,1.0,,,5.759587,rad,,,330.0,,,,False,origin unreadable
twincities_v2_nolock,body_LATEST:1+twincities_v2_nolock:1,Revolute 12,joint,revolute,twincities_v2_nolock:1+gimbal_neck:1,twincities_v2_nolock:1+robstride05 v16 (2):1+1_1_30_GR-2202_ASM^FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1+1_1_30_GR-2202_ASM_1_ASM^1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1+00MINI-_20250103_A0001_ASM_1_AS_ASM^1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1+00MINI-000_ASM_1_ASM_1_ASM^00MINI-_20250103_A0001_ASM_1_AS_ASM_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1+0001755650^00MINI-000_ASM_1_ASM_1_ASM_00MINI-_20250103_A0001_ASM_1_AS_ASM_1_1_30_GR-2202_ASM_1_ASM_1_1_30_GR-2202_ASM_FL46BLW10-48V-5N.m-DE(2)_FL46BLW10-48V-5N.m-DE (2):1,,,,-0.0,0.0,1.0,,,5.759587,rad,,,330.0,,,,False,origin unreadable
