part_id,fusion_name,material,mass_g,volume_cm3,bbox_x_mm,bbox_y_mm,bbox_z_mm,com_x_mm,com_y_mm,com_z_mm,ixx,iyy,izz,ixy,ixz,iyz,ixx_origin,iyy_origin,izz_origin,ixy_origin,ixz_origin,iyz_origin,notes
3DP_legP09_shank_cover_a,Component42,shank protection,44.7,89.43,66.0,25.0,261.0,0.0,184.99,-387.205,205827.2,227317.0,27202.3,-1.2,5.0,281.5,8437288.0,6929085.7,1556894.4,-1.2,5.0,3202100.2,inertia about the centre of mass carries up to ±9207 g·mm² from the 0.1 g mass rounding in the export (centre of mass 429 mm from the component origin)
3DP_legP10_shank_cover_b,Component43,shank protection,44.7,89.43,66.0,25.0,261.0,-0.005,81.605,-387.202,205252.9,227022.0,26674.2,-2.2,-63.1,1186.3,7204591.9,6928686.9,324348.3,16.0,-149.6,1413599.9,inertia about the centre of mass carries up to ±7829 g·mm² from the 0.1 g mass rounding in the export (centre of mass 396 mm from the component origin)
3DP_legP11_ankle_cover_a,Component46,ANKLE_1_PROTECTION,16.7,14.02,35.5,94.0,47.0,86.329,133.304,-523.041,16801.7,3861.7,17766.4,66.0,-521.9,-393.4,4882210.5,4696972.3,438984.7,-192117.6,753543.3,1163988.3,inertia about the centre of mass carries up to ±14940 g·mm² from the 0.1 g mass rounding in the export (centre of mass 547 mm from the component origin)
3DP_legP12_ankle_cover_b,Component47,ANKLE_1_PROTECTION,16.7,14.02,35.5,94.0,47.0,86.33,133.304,-468.389,16225.5,3328.6,17668.0,108.6,-115.5,-581.8,3976767.6,3791575.4,438889.2,-192077.2,675166.1,1042134.9,inertia about the centre of mass carries up to ±12231 g·mm² from the 0.1 g mass rounding in the export (centre of mass 495 mm from the component origin)
CNC_arm01_shoulder_roll_front_bearing,CNC_arm01_x2_shoulder_roll_front_bearing_retainer,Aluminum 6061,55.7,20.62,10.8,123.4,82.8,25.572,-56.991,0.0,86496.7,19339.1,67518.5,317.6,0.0,0.0,267408.9,55762.8,284854.4,81493.3,0.0,-0.0,
CNC_arm02_shoulder_roll_back_bearing,CNC_arm02_x2_shoulder_roll_back_bearing_retainer,Aluminum 6061,68.2,25.29,20.0,123.4,82.8,-21.699,-64.017,0.0,113202.4,27159.2,90333.2,4477.5,0.0,0.2,392698.0,59270.9,401940.6,-90259.5,-0.0,0.2,
CNC_arm03_shoulder_roll_output_shaft,CNC_arm03_x2_shoulder_roll_output_shaft,Aluminum 6061,42.2,15.64,16.1,38.6,79.8,-32.636,-90.0,18.112,25948.2,20822.4,6483.3,-131.4,1985.6,73.7,381611.7,79613.5,393250.9,-124082.9,26930.2,68863.1,
CNC_arm04_shoulder_roll_support_shaft,CNC_arm04_x4_shoulder_elbow_support_shaft,Aluminum 6061,35.0,12.97,13.3,38.6,79.8,-34.172,-90.0,-21.807,22025.5,17183.5,5537.3,-90.3,-805.4,-57.6,322169.6,74698.0,329907.7,-107732.1,-26887.0,-68749.7,inertia about the centre of mass carries up to ±487 g·mm² from the 0.1 g mass rounding in the export (centre of mass 99 mm from the component origin)
CNC_arm07_elbow_front_bearing,CNC_arm07_x2_elbow_front_bearing_retainer,Aluminum 6061,33.6,12.46,79.3,15.3,90.7,0.0,-112.251,-193.997,23998.7,34519.5,11374.8,0.0,0.0,-1191.7,1711898.8,1299050.0,434744.4,-0.0,-0.0,-732877.3,inertia about the centre of mass carries up to ±2512 g·mm² from the 0.1 g mass rounding in the export (centre of mass 224 mm from the component origin)
CNC_arm08_elbow_back_bearing,CNC_arm08_x2_elbow_back_bearing_retainer,Aluminum 6061,46.5,17.25,78.2,21.3,91.5,-0.056,-70.814,-195.613,35429.7,49504.0,16875.7,-28.0,567.1,-778.3,2047906.4,1828800.9,250055.8,-212.4,57.7,-644902.8,inertia about the centre of mass carries up to ±2164 g·mm² from the 0.1 g mass rounding in the export (centre of mass 208 mm from the component origin)
CNC_arm09_elbow_output_shaft,CNC_arm09_x2_elbow_roll_output_shaft,Aluminum 6061,44.7,16.56,38.6,16.5,79.8,0.0,-122.487,-225.104,22563.8,27471.7,6836.4,0.0,0.0,-2573.2,2958230.8,2292501.6,677473.4,0.0,0.0,-1235055.6,inertia about the centre of mass carries up to ±3284 g·mm² from the 0.1 g mass rounding in the export (centre of mass 256 mm from the component origin)
CNC_arm10_r03_back_cover,CNC_arm10_x4_r03_back_cover,Aluminum 6061,38.7,14.34,78.5,78.5,20.0,0.026,-90.013,-54.574,15240.0,23732.8,36488.3,1481.7,8.3,28.6,444061.6,138993.9,350048.9,1572.3,63.2,-190080.1,
CNC_arm13_RS05_shaft_coupler,CNC_arm13_x2_RS05_shaft_coupler,Aluminum 6061,22.1,8.17,36.0,36.0,18.0,0.0,0.0,-130.999,2439.2,2738.7,5647.8,0.0,0.0,-0.1,381691.5,381991.0,5647.8,0.0,0.0,-0.1,inertia about the centre of mass carries up to ±858 g·mm² from the 0.1 g mass rounding in the export (centre of mass 131 mm from the component origin)
CNC_body01_bottom_plate,CNC_body01_x1_bottom_plate,Aluminum 6061,215.4,79.82,130.0,180.0,10.2,0.0,0.0,5.389,703288.0,374829.6,1073969.7,0.0,0.0,0.0,709543.5,381085.1,1073969.7,0.0,0.0,-0.0,
CNC_body02_side_plate,CNC_body02_x2_side_plate,Aluminum 6061,411.7,152.49,107.5,12.0,407.0,0.0,85.698,206.887,6367104.6,6827302.5,470715.2,-1.1,-4.5,-2205.8,27012368.4,24448980.9,3494300.6,-1.1,-4.5,-7301565.3,
CNC_body03_top_plate,CNC_body03_x1_top_plate,Aluminum 6061,163.4,60.54,130.0,180.0,8.0,0.0,0.0,2.795,517035.2,270345.0,785598.1,-0.4,0.0,0.0,518311.7,271621.5,785598.1,-0.4,0.0,-0.0,
CNC_body04_front_plate,CNC_body04_x4_front_plate,Aluminum 6061,48.3,17.91,11.3,174.8,46.5,61.395,0.0,23.695,193520.0,8115.9,186605.5,0.0,292.5,0.0,220638.2,217293.5,368664.9,0.0,-69972.1,0.0,
CNC_leg01_hip_center_back,CNC_leg01_x2_hip_center_back,Aluminum 6061,71.9,26.67,99.2,35.6,122.2,-0.312,16.867,2.783,129883.4,167488.7,54103.7,-378.1,-1351.4,-30261.9,150895.5,168052.6,74565.9,0.3,-1289.0,-33636.9,
CNC_leg02_RS03_shaft_coupler,CNC_leg02_x7_RS03_shaft_coupler,Aluminum 6061,51.8,19.2,50.0,50.0,22.1,0.0,133.298,-230.005,18037.2,16219.1,25780.1,1.6,-2.6,1473.5,3678777.2,2756558.2,946181.0,1.6,-2.6,1589620.4,inertia about the centre of mass carries up to ±3534 g·mm² from the 0.1 g mass rounding in the export (centre of mass 266 mm from the component origin)
CNC_leg03_RS03_shaft_bearing_retainer,CNC_leg03_x4_RS03_shaft_bearing_retainer,Aluminum 6061,35.6,13.21,99.2,99.2,9.5,0.0,133.298,-222.749,28266.9,27556.9,51433.0,0.0,0.0,1189.9,2427189.8,1793926.3,683986.5,-0.0,-0.0,1058225.0,inertia about the centre of mass carries up to ±3369 g·mm² from the 0.1 g mass rounding in the export (centre of mass 260 mm from the component origin)
CNC_leg04_hip_roll_front_bearing_retainer,CNC_leg04_x2_hip_roll_front_bearing_retainer,Aluminum 6061,56.2,20.84,15.5,99.2,110.5,29.0,133.298,-277.031,94679.7,61792.1,33747.0,-178.8,2222.8,1697.5,5406396.4,4422191.3,1079592.9,-217427.9,453727.9,2077033.0,inertia about the centre of mass carries up to ±4768 g·mm² from the 0.1 g mass rounding in the export (centre of mass 309 mm from the component origin)
CNC_leg05_hip_roll_back_bearing_retainer,CNC_leg05_x2_hip_roll_back_bearing_retainer,Aluminum 6061,73.8,27.33,22.4,99.2,110.5,-24.637,133.298,-282.935,116627.1,77298.6,44359.4,-163.1,2000.4,-1851.9,7335785.2,6029947.3,1400459.4,242200.7,-512435.0,2781490.7,inertia about the centre of mass carries up to ±4921 g·mm² from the 0.1 g mass rounding in the export (centre of mass 314 mm from the component origin)
CNC_leg06_hip_roll_output_shaft,CNC_leg06_x2_hip_roll_output_shaft,Aluminum 6061,83.8,31.05,35.5,99.2,102.5,36.467,126.536,-66.516,110252.6,79225.3,36071.4,-107.2,2599.1,199.3,1822767.4,561429.0,1489264.1,-386792.9,205867.6,705516.1,
CNC_leg07_hip_roll_support_shaft,CNC_leg07_x2_hip_roll_support_shaft,Aluminum 6061,79.3,29.35,35.5,99.2,102.5,37.537,126.536,68.399,103168.2,72969.7,34129.2,230.2,507.1,422.8,1743868.0,555704.5,1415565.8,-376427.5,-203095.1,-685913.6,
CNC_leg08_knee_front_bearing_retainer,CNC_leg08_x2_knee_front_bearing_retainer,Aluminum 6061,55.8,20.7,114.6,15.0,126.2,0.0,160.74,-285.662,77166.8,114806.3,40424.0,0.0,0.0,3472.3,6072325.8,4668241.3,1482148.0,-0.0,0.0,2565658.2,inertia about the centre of mass carries up to ±5372 g·mm² from the 0.1 g mass rounding in the export (centre of mass 328 mm from the component origin)
CNC_leg09_knee_motor_back_cover,CNC_leg09_x2_knee_motor_back_cover,Aluminum 6061,102.9,38.15,114.6,32.5,126.2,0.0,105.999,-292.304,105068.0,176486.9,81602.4,1.0,-3.4,-1254.1,10053174.1,8968430.5,1237765.0,1.0,-3.4,3186992.5,inertia about the centre of mass carries up to ±4834 g·mm² from the 0.1 g mass rounding in the export (centre of mass 311 mm from the component origin)
CNC_leg10_knee_output_shank,CNC_leg10_x2_knee_output_shank,Aluminum 6061,249.9,92.54,54.4,27.8,249.9,0.0,174.065,-401.919,1470485.6,1521865.9,79753.3,0.5,-0.9,-410.2,49410678.5,41890432.7,7651379.5,0.5,-0.9,17482601.5,
CNC_leg11_knee_support_shank,CNC_leg11_x2_knee_support_shank,Aluminum 6061,179.9,66.71,54.4,15.6,249.0,0.0,88.494,-397.222,866365.2,914569.8,54753.1,0.0,-0.1,-1029.4,30660774.5,29300148.4,1463583.8,0.0,-0.1,6322772.9,
CNC_leg12_lower_leg_bearing,CNC_leg12_x4_lower_leg_bearing_cap,Aluminum 6061,6.4,2.35,43.0,3.0,43.0,0.0,85.21,-495.717,,,,,,,1607607.3,1562462.9,47081.8,-0.0,0.0,268241.9,"the 3 Fusion copies of this part differ in centre of mass (`CNC_leg12_x4_lower_leg_bearing_cap` 0.0 × 85.21 × -495.717; `CNC_leg12_x4_lower_leg_bearing_cap_1` 0.0 × 85.21 × 495.717; `CNC_leg12_x4_lower_leg_bearing_cap~2` 0.0 × 85.21 × 495.717): values are of `CNC_leg12_x4_lower_leg_bearing_cap`; inertia about the centre of mass not given: the centre of mass is 503 mm from the component origin and Fusion's origin-referenced tensor, shifted with a mass rounded to 0.1 g, is uncertain by ±12650 g·mm², more than the part's own moments (the `*_origin` columns hold Fusion's values unchanged)"
CNC_leg13_ankle_pitch_front,CNC_leg13_x2_ankle_pitch_front,Aluminum 6061,67.8,25.16,124.5,41.4,99.2,4.881,157.549,-495.717,56718.6,169225.7,121699.6,-6823.9,102.0,3603.2,18400485.3,16831697.3,1806225.3,-58961.9,164150.5,5298764.1,inertia about the centre of mass carries up to ±13529 g·mm² from the 0.1 g mass rounding in the export (centre of mass 520 mm from the component origin)
CNC_leg14_ankle_pitch_back,CNC_leg14_x2_ankle_pitch_back,Aluminum 6061,92.0,34.06,124.5,46.5,99.2,4.46,106.145,-495.727,42117.8,157843.7,131701.3,4853.4,-126.6,-2196.7,23687223.6,22768237.5,1170073.3,-38700.0,203280.1,4838746.0,inertia about the centre of mass carries up to ±12852 g·mm² from the 0.1 g mass rounding in the export (centre of mass 507 mm from the component origin)
CNC_leg15_RS06_shaft_bearing_retainer,CNC_leg15_x2_RS06_shaft_bearing_retainer,Aluminum 6061,23.5,8.7,8.5,82.8,82.8,101.727,133.298,-495.717,14942.1,3978.0,10541.9,391.9,-1455.4,-1905.9,6207279.1,6021945.6,671285.3,-318268.2,1183598.0,1550929.1,inertia about the centre of mass carries up to ±13693 g·mm² from the 0.1 g mass rounding in the export (centre of mass 523 mm from the component origin)
CNC_leg16_ankle_roll_output_shaft,CNC_leg16_x2_ankle_roll_output_shaft,Aluminum 6061,64.1,,15.3,54.4,86.0,107.739,133.298,-520.488,39879.3,26612.3,14085.2,559.9,-1232.5,-2724.7,18544018.3,18135852.7,1897089.9,-920005.4,3593294.0,4444533.9,inertia about the centre of mass carries up to ±15014 g·mm² from the 0.1 g mass rounding in the export (centre of mass 548 mm from the component origin); mesh not closed (7 shells): volume not computed
CNC_leg17_ankle_roll_support_shaft,CNC_leg17_x2_ankle_roll_support_shaft,Aluminum 6061,59.0,,12.7,54.4,86.0,108.687,133.298,522.533,45895.3,32363.4,14516.1,88.6,891.7,411.9,17203631.8,16838725.8,1759808.1,-854689.2,-3349868.4,-4109091.7,inertia about the centre of mass carries up to ±15131 g·mm² from the 0.1 g mass rounding in the export (centre of mass 550 mm from the component origin); mesh not closed (7 shells): volume not computed
CNC_leg18_foot_plate,CNC_leg18_x2_foot_plate,Aluminum 6061,,31.0,177.0,62.0,7.0,24.0,133.3,-555.63,,,,,,,,,,,,,"Fusion component `CNC_leg18_x2_foot_plate` carries 1 child component(s): its CAD mass (202.0 g), bounding box (235 × 72.1 × 102 mm), centre of mass and inertia include them, so no own mass or inertia is in this export; size, volume and centre of mass are of the component's own body, from the STL"
