part_id,rev,kind,format,path,bytes,sha256
3DP_legP01_hip3_cover_a,01,step,STEP,files/step/3DP_legP01_hip3_cover_a_rev01.step,1235642,f130d7fdd8d31e7add63c09fe5c5bb7f79e6cc9243d872689c153324d1905799
3DP_legP02_hip3_cover_b,01,step,STEP,files/step/3DP_legP02_hip3_cover_b_rev01.step,1219122,50ad4b358d120929ae6019b9e7fdcc462483594e34dea995a282f611cc23b3be
3DP_legP03_hip3_cover_c,01,step,STEP,files/step/3DP_legP03_hip3_cover_c_rev01.step,1233942,b78c647554871325d1fcbe534056d34e56a10a2da4f6da329d668c3a20030793
3DP_legP04_hip3_cover_d,01,step,STEP,files/step/3DP_legP04_hip3_cover_d_rev01.step,1217313,ed6237fe48bd1bfaa72e27564bf7037d6f51b50ec0f7e52c25ced321524f331f
3DP_legP05_hip2_cover_a,01,step,STEP,files/step/3DP_legP05_hip2_cover_a_rev01.step,812969,e1f9897449cff7502d12c69c331b2a078e39cced69cbafac7b6135327605f115
3DP_legP06_hip2_cover_b,01,step,STEP,files/step/3DP_legP06_hip2_cover_b_rev01.step,809922,53eedf3ef533016a3cd44bfac58c15c56394c6d1019da61a682cfa9e9d605b0f
3DP_legP07_knee_cover_a,01,step,STEP,files/step/3DP_legP07_knee_cover_a_rev01.step,628866,de3935c9d4d09b0c535a31a369f9fadb314c366ad6c74c63d0633470167c99a3
3DP_legP08_knee_cover_b,01,step,STEP,files/step/3DP_legP08_knee_cover_b_rev01.step,626072,70a34ed0594343612330e16db08a2d34d4f54fd7b56719f81b1efc430a591449
3DP_legP09_shank_cover_a,01,step,STEP,files/step/3DP_legP09_shank_cover_a_rev01.step,467394,f6f02ffb031b8551f49dcee7b7074ffc4353213fec91fd70cff9ddb69f4ffd78
3DP_legP10_shank_cover_b,01,step,STEP,files/step/3DP_legP10_shank_cover_b_rev01.step,467496,bd9ae20fc4c4201ae95c75d7a75cdfae4700f65ef9dd9dd1d1a14ddd6e7ad8ae
3DP_legP11_ankle_cover_a,01,step,STEP,files/step/3DP_legP11_ankle_cover_a_rev01.step,979821,a9f5f2c444cce4bf07412355f3556ada2281ffac9e6da1e04d269b61449e2cf3
3DP_legP12_ankle_cover_b,01,step,STEP,files/step/3DP_legP12_ankle_cover_b_rev01.step,978271,a87ece9e0fdf3bf25808dc6597fda1083d3eb09a53abc5a25524d5b92a462761
CNC_arm01_shoulder_roll_front_bearing,01,step,STEP,files/step/CNC_arm01_shoulder_roll_front_bearing_rev01.step,702477,05f4532913b93ab94092aae7ccb86d287849db0df2baebd049ff7aff61400797
CNC_arm02_shoulder_roll_back_bearing,01,step,STEP,files/step/CNC_arm02_shoulder_roll_back_bearing_rev01.step,624867,0ce37cda5987f0bc7a97de9c3e70f30eb5a241776dfe79903210eb97a46bee5e
