fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path,color_rgb,appearance,com_x_mm,com_y_mm,com_z_mm,ixx,iyy,izz,ixy,iyz,ixz
shoulder_pitch_protection,shoulder_pitch_protection~2,subassembly,1,0,2,,24.9,38.5,86.2,95.1,False,,000_right_arm_long_wrist_latest:1+protections:1+shoulder_pitch_protection:1,,,7.765,-98.529,-0.0,288146.4,34422.6,264684.0,19153.8,-0.0,0.0
Component34,Component34~3,part,1,1,0,measured_shoulder_protection,12.5,38.5,86.2,47.5,False,,000_right_arm_long_wrist_latest:1+protections:1+shoulder_pitch_protection:1+Component34:1,"0,0,0",Silicone (White),7.765,-98.529,-32.032,144073.2,17211.3,132342.0,9576.9,-37248.0,2978.4
Component35,Component35~3,part,1,1,0,measured_shoulder_protection,12.5,38.5,86.2,47.5,False,,000_right_arm_long_wrist_latest:1+protections:1+shoulder_pitch_protection:1+Component35:1,"0,0,0",Silicone (White),7.765,-98.529,32.032,144073.2,17211.3,132342.0,9576.9,37248.0,-2978.4
shoulder_roll_shaft,shoulder_roll_shaft~2,subassembly,1,0,2,,15.9,84.0,46.6,82.3,False,,000_right_arm_long_wrist_latest:1+protections:1+shoulder_roll_shaft:1,,,-0.0,-90.0,-18.369,146224.6,37455.1,155648.0,-0.0,-26262.6,-0.0
Component40,Component40~2,part,1,1,0,shoulder_protection,7.9,11.5,46.6,82.3,False,,000_right_arm_long_wrist_latest:1+protections:1+shoulder_roll_shaft:1+Component40:1,"0,0,0",Silicone (White),38.304,-90.0,-18.369,73112.3,18727.6,77824.0,27381.7,-13131.3,5645.6
Component41,Component41~2,part,1,1,0,shoulder_protection,7.9,11.5,46.6,82.3,False,,000_right_arm_long_wrist_latest:1+protections:1+shoulder_roll_shaft:1+Component41:1,"0,0,0",Silicone (White),-38.304,-90.0,-18.369,73112.3,18727.6,77824.0,-27381.7,-13131.3,-5645.6
shoulder_yaw_protection,shoulder_yaw_protection~2,mixed,2,12,2,shoulder_yaw_protection,19.2,86.5,86.5,32.0,False,,000_right_arm_long_wrist_latest:1+protections:1+shoulder_yaw_protection:1,"0,0,0",Silicone (White),-0.0,-90.0,-79.842,294530.2,139092.0,184477.0,-0.0,-137893.7,-0.0
Component36,Component36~3,part,2,1,0,shoulder_yaw_protection,8.3,43.3,86.5,32.0,False,,000_right_arm_long_wrist_latest:1+protections:1+shoulder_yaw_protection:1+Component36:1,"0,0,0",Silicone (White),-26.281,-90.0,-77.814,125615.9,58279.5,81493.0,-19663.0,-58218.9,-17002.4
Component37,Component37~3,part,2,1,0,shoulder_yaw_protection,8.3,43.3,86.5,32.0,False,,000_right_arm_long_wrist_latest:1+protections:1+shoulder_yaw_protection:1+Component37:1,"0,0,0",Silicone (White),26.281,-90.0,-77.814,125615.9,58279.5,81493.0,19663.0,-58218.9,17002.4
schematics,schematics~3,subassembly,1,0,5,,0.0,0.0,0.0,0.0,False,,000_right_arm_long_wrist_latest:1+schematics:1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoulder_pitch:shoulder_roll,shoulder_pitch_shoulder_roll~2,subassembly,1,0,3,,175.7,59.5,134.2,82.8,False,,000_right_arm_long_wrist_latest:1+shoulder_pitch:shoulder_roll:1,,,-0.323,-3.576,-67.86,4338884.0,2871591.9,1632976.0,-8764.6,1589620.6,-2.6
CNC_arm01_x2_shoulder_roll_front_bearing_retainer,CNC_arm01_x2_shoulder_roll_front_bearing_retainer~2,part,1,1,0,Aluminum 6061,55.7,10.8,123.4,82.8,False,,000_right_arm_long_wrist_latest:1+shoulder_pitch:shoulder_roll:1+CNC_arm01_x2_shoulder_roll_front_bearing_retainer:1,"245,245,246",Aluminum - Satin,25.572,-56.991,-0.0,267408.9,55762.8,284854.4,81493.3,-0.0,0.0
CNC_arm02_x2_shoulder_roll_back_bearing_retainer,CNC_arm02_x2_shoulder_roll_back_bearing_retainer~2,part,1,1,0,Aluminum 6061,68.2,20.0,123.4,82.8,False,,000_right_arm_long_wrist_latest:1+shoulder_pitch:shoulder_roll:1+CNC_arm02_x2_shoulder_roll_back_bearing_retainer:1,"245,245,246",Aluminum - Satin,-21.699,-64.017,-0.0,392698.0,59270.9,401940.6,-90259.5,0.2,-0.0
shoulder_roll:shoulder_yaw,shoulder_roll_shoulder_yaw~2,subassembly,1,0,5,,580.8,110.6,110.6,156.8,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1,,,0.076,-29.004,-50.644,3599983.0,2182605.4,1970908.6,17857.5,-1030132.1,-6269.4
3DP_arm05_x4_RS02_shaft_bearing_retainer,3DP_arm05_x4_RS02_shaft_bearing_retainer~2,part,2,1,0,Nylon 12 (with Formlabs Fuse 1 3D Printer),70.6,79.5,79.5,45.5,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+3DP_arm05_x4_RS02_shaft_bearing_retainer:1,"63,63,63",Nylon 12 (with Formlabs Fuse 1 3D Printer),-0.0,-89.999,-110.234,1473753.6,901703.5,631893.7,-0.0,-700663.4,-0.0
CNC_arm03_x2_shoulder_roll_output_shaft,CNC_arm03_x2_shoulder_roll_output_shaft~2,part,1,1,0,Aluminum 6061,42.2,16.1,38.6,79.8,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+CNC_arm03_x2_shoulder_roll_output_shaft:1,"245,245,246",Aluminum - Satin,-32.636,-90.0,18.112,381611.7,79613.5,393250.9,-124082.9,68863.1,26930.2
CNC_arm04_x4_shoulder_elbow_support_shaft,CNC_arm04_x4_shoulder_elbow_support_shaft~2,part,2,1,0,Aluminum 6061,35.0,13.3,38.6,79.8,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+CNC_arm04_x4_shoulder_elbow_support_shaft:1,"245,245,246",Aluminum - Satin,-34.172,-90.0,-21.807,322169.6,74698.0,329907.7,-107732.1,-68749.7,-26887.0
CNC_arm10_x4_r03_back_cover,CNC_arm10_x4_r03_back_cover~2,part,2,1,0,Aluminum 6061,38.7,78.5,78.5,20.0,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+CNC_arm10_x4_r03_back_cover:1,"245,245,246",Aluminum - Satin,0.026,-90.013,-54.574,444061.6,138993.9,350048.9,1572.3,-190080.1,63.2
robstride_02-No_back_cover,robstride_02-No_back_cover~2,subassembly,3,0,2,,394.2,135.7,121.8,43.7,True,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3,,,0.351,-0.132,-14.368,238885.5,248095.4,265807.5,65.6,-1339.6,1932.0
02-3D-20211009(1).stp,02-3D-20211009_1_.stp~2,subassembly,3,0,1,,112.9,95.1,95.1,43.2,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1,,,55.163,40.906,-8.628,265169.7,427794.0,637449.0,-256829.9,39317.1,53982.8
3_1_02_067_0020_ASM_1_ASM.stp,3_1_02_067_0020_ASM_1_ASM.stp~2,subassembly,3,0,15,,112.9,95.1,95.1,43.2,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1,,,55.163,40.906,-8.628,265169.7,427794.0,637449.0,-256829.9,39317.1,53982.8
1_1_04_EB672-503_1.stp,1_1_04_EB672-503_1.stp~2,part,3,1,0,Aluminum A356 T6,21.4,78.5,78.5,12.0,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_1_04_EB672-503_1.stp:1,"245,245,246",Aluminum - Satin,-1.515,2.434,-0.903,9021.4,8530.4,17398.7,-0.0,26.0,-20.1
1_1_06_EB673-516_1.stp,1_1_06_EB673-516_1.stp~2,part,3,19,0,Aluminum A356 T6; Steel,60.3,78.5,78.5,30.0,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_1_06_EB673-516_1.stp:1,"245,245,246",Aluminum - Satin,55.831,40.597,-13.616,150655.7,242238.9,361373.2,-137403.3,33208.5,45392.6
1_1_31_PL674-504_1.stp,1_1_31_PL674-504_1.stp~2,part,3,1,0,Steel,0.9,6.0,5.0,19.8,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_1_31_PL674-504_1.stp:1,"160,160,160",Steel - Satin,3.0,-0.84,7.516,87.9,96.9,12.5,2.3,2.5,-20.2
1_2_04_670601_1.stp,1_2_04_670601_1.stp~2,part,3,1,0,Steel,7.8,37.0,37.0,3.0,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_04_670601_1.stp:1,"160,160,160",Steel - Satin,-0.0,0.0,1.638,1135.2,1135.2,2218.5,0.0,0.0,0.0
1_2_05_030080_1.stp,1_2_05_030080_1.stp~2,part,3,2,0,Steel,0.8,5.6,10.4,5.6,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_05_030080_1.stp:1,"160,160,160",Steel - Satin,-0.0,-1.774,0.0,10.8,1.9,10.8,0.0,-0.0,0.0
1_2_05_QT-170_1.stp,1_2_05_QT-170_1.stp~2,part,12,2,0,Steel,0.2,4.0,4.0,5.6,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_05_QT-170_1.stp:1,"160,160,160",Steel - Satin,0.0,-0.0,-3.389,3.1,3.1,0.3,0.0,-0.0,0.0
1_2_05_QT-647_1.stp,1_2_05_QT-647_1.stp~2,part,9,1,0,Steel,0.0,3.0,15.7,3.0,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_05_QT-647_1.stp:1,"160,160,160",Steel - Satin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1_2_06_000392_1.stp,1_2_06_000392_1.stp~2,part,3,1,0,Steel,1.2,38.5,38.2,0.7,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_06_000392_1.stp:1,"160,160,160",Steel - Satin,0.08,1.386,0.32,181.3,210.4,391.4,1.7,-0.5,-0.0
1_2_16_001330_ASM_1_ASM.stp,1_2_16_001330_ASM_1_ASM.stp~2,subassembly,3,0,1,,12.4,59.8,69.9,7.2,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_16_001330_ASM_1_ASM.stp:1,,,0.032,-0.39,-0.443,5685.3,1830.5,7418.5,44.7,0.0,-0.3
PCBMODEL_ASM_1_ASM.stp,PCBMODEL_ASM_1_ASM.stp~2,subassembly,3,0,3,,12.4,59.8,69.9,7.2,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_16_001330_ASM_1_ASM.stp:1+PCBMODEL_ASM_1_ASM.stp:1,,,0.032,-0.39,-0.443,5685.3,1830.5,7418.5,44.7,0.0,-0.3
BOARD-17_1.stp,BOARD-17_1.stp~2,part,3,1,0,FR4,7.7,59.8,57.3,1.6,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_16_001330_ASM_1_ASM.stp:1+PCBMODEL_ASM_1_ASM.stp:1+BOARD-17_1.stp:1,"68,119,102",FR4,0.052,-0.475,0.793,1576.0,1712.2,3275.3,16.4,2.9,-0.3
JRZS-J1_ASM_1_ASM.stp,JRZS-J1_ASM_1_ASM.stp~2,subassembly,3,0,1,,2.4,15.5,12.6,7.2,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_16_001330_ASM_1_ASM.stp:1+PCBMODEL_ASM_1_ASM.stp:1+JRZS-J1_ASM_1_ASM.stp:1,,,-0.266,-4.478,2.455,88.0,59.2,104.9,1.4,27.4,1.2
JRZS-J2_ASM_1_ASM.stp,JRZS-J2_ASM_1_ASM.stp~2,subassembly,3,0,1,,2.4,15.5,12.6,7.2,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_16_001330_ASM_1_ASM.stp:1+PCBMODEL_ASM_1_ASM.stp:1+JRZS-J2_ASM_1_ASM.stp:1,,,-0.266,-4.478,2.455,88.0,59.2,104.9,1.4,27.4,1.2
CONN-TH_4P-XT30PW-M_ASM_1_ASM.stp,CONN-TH_4P-XT30PW-M_ASM_1_ASM.stp~2,subassembly,6,0,1,,2.4,15.5,12.6,7.2,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_16_001330_ASM_1_ASM.stp:1+PCBMODEL_ASM_1_ASM.stp:1+JRZS-J2_ASM_1_ASM.stp:1+CONN-TH_4P-XT30PW-M_ASM_1_ASM.stp:1,,,-0.266,-4.478,2.455,88.0,59.2,104.9,1.4,27.4,1.2
SOLID-183013_1.stp,SOLID-183013_1.stp~2,part,6,1,0,Discrete Component,2.4,15.5,12.6,7.2,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+1_2_16_001330_ASM_1_ASM.stp:1+PCBMODEL_ASM_1_ASM.stp:1+JRZS-J2_ASM_1_ASM.stp:1+CONN-TH_4P-XT30PW-M_ASM_1_ASM.stp:1+SOLID-183013_1.stp:1,"25,25,25",Plastic - Matte (Black),-0.266,-4.478,2.455,88.0,59.2,104.9,1.4,27.4,1.2
shaft 1_1_02_EB671-502_1.stp,shaft_1_1_02_EB671-502_1.stp~2,part,3,1,0,Aluminum A356 T6,7.3,30.0,30.0,5.5,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+02-3D-20211009(1).stp:1+3_1_02_067_0020_ASM_1_ASM.stp:1+shaft 1_1_02_EB671-502_1.stp:1,"245,245,246",Aluminum - Satin,0.0,0.0,-4.316,624.2,624.2,939.6,0.0,0.0,0.0
Component21,Component21~2,part,3,1,0,core_material,281.3,68.0,68.0,24.0,False,,000_right_arm_long_wrist_latest:1+shoulder_roll:shoulder_yaw:1+robstride_02-No_back_cover:3+Component21:1,"237,206,195",Copper - Polished,-0.0,-0.0,-14.166,146529.4,146529.4,160529.6,-0.0,-0.0,-0.0
shoulder_yaw:elbow,shoulder_yaw_elbow~2,subassembly,1,0,3,,147.6,79.3,59.5,152.8,False,,000_right_arm_long_wrist_latest:1+shoulder_yaw:elbow:1,,,0.234,-87.958,-167.624,5616719.3,4403770.2,1281962.3,3291.9,-2200913.8,5643.3
3DP_arm06_x4_RS02_shaft_coupler,3DP_arm06_x4_RS02_shaft_coupler~2,mixed,1,1,6,Nylon 12 (with Formlabs Fuse 1 3D Printer),67.5,40.0,55.0,71.2,False,,000_right_arm_long_wrist_latest:1+shoulder_yaw:elbow:1+3DP_arm06_x4_RS02_shaft_coupler:1,"63,63,63",Nylon 12 (with Formlabs Fuse 1 3D Printer),0.55,-87.676,-135.196,1856914.2,1275919.2,597162.1,3504.4,-823133.7,5585.6
Knurled Insert M3xH8,Knurled_Insert_M3xH8~2,part,6,1,0,Brass,0.5,4.2,8.5,4.2,True,,000_right_arm_long_wrist_latest:1+shoulder_yaw:elbow:1+3DP_arm06_x4_RS02_shaft_coupler:1+Knurled Insert M3xH8:1,"243,203,124",Brass - Polished,0.0,3.856,-0.0,10.4,1.3,10.4,0.0,0.0,-0.0
CNC_arm07_x2_elbow_front_bearing_retainer,CNC_arm07_x2_elbow_front_bearing_retainer~2,part,1,1,0,Aluminum 6061,33.6,79.3,15.3,90.7,False,,000_right_arm_long_wrist_latest:1+shoulder_yaw:elbow:1+CNC_arm07_x2_elbow_front_bearing_retainer:1,"245,245,246",Aluminum - Satin,-0.0,-112.251,-193.997,1711898.8,1299050.0,434744.4,-0.0,-732877.3,-0.0
CNC_arm08_x2_elbow_back_bearing_retainer,CNC_arm08_x2_elbow_back_bearing_retainer~2,part,1,1,0,Aluminum 6061,46.5,78.2,21.3,91.5,False,,000_right_arm_long_wrist_latest:1+shoulder_yaw:elbow:1+CNC_arm08_x2_elbow_back_bearing_retainer:1,"245,245,246",Aluminum - Satin,-0.056,-70.814,-195.613,2047906.4,1828800.9,250055.8,-212.4,-644902.8,57.7
body_LATEST,body_LATEST,subassembly,1,0,142,,7845.1,140.3,220.2,676.9,True,,body_LATEST:1,,,-8.817,0.031,233.367,699879829.0,685735640.6,32650722.2,-107796.6,-15159.5,8099509.6
3DP_body_05_x1_interior_plate,3DP_body_05_x1_interior_plate,mixed,1,1,36,PLA (for Bambu H2D) (1),4637.4,130.1,156.3,414.6,False,,body_LATEST:1+3DP_body_05_x1_interior_plate:1,"0,0,0",PAHT-CF (for Bambu H2D),4.884,-27.731,87.996,105488301.0,89673246.8,33326389.1,-1151129.8,3304170.1,-2887026.3
150A relay,150A_relay,part,1,1,0,ABS Plastic,87.6,80.0,74.0,45.6,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+150A relay:1,"246,246,243",ABS (White),0.023,-4.691,15.769,61635.6,50789.9,54604.7,-263.0,6162.8,-85.9
CAN_Isolated,CAN_Isolated,mixed,6,1,1,ABS Plastic,33.3,65.0,32.0,37.0,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:1,"246,246,243",ABS (White),-7.213,0.0,6.375,4180.3,22979.6,23664.5,0.0,-0.0,1529.7
USB-C Cable,USB-C_Cable,part,12,1,0,USB C to A,5.4,12.5,7.0,37.0,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+CAN_Isolated:1+USB-C Cable:1,"0,0,127",Steel - Satin,0.0,-0.0,7.099,726.7,762.7,68.0,-0.0,0.0,-0.0
IMU_syd_dynamics_TM171,IMU_syd_dynamics_TM171,subassembly,1,0,2,,24.1,34.0,65.0,12.6,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+IMU_syd_dynamics_TM171:4,,,-1.33,4.381,5.478,6073.2,3017.2,6988.9,1003.0,-348.4,105.8
Component1,Component1,part,1,1,0,IMU,21.0,34.0,40.0,12.6,False,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+IMU_syd_dynamics_TM171:4+Component1:1,"212,209,201",Platinum - Polished,-0.125,0.217,5.8,2563.8,2665.5,3212.5,43.3,-15.0,8.7
Component2,Component2,part,1,1,0,IMU,3.1,11.0,30.0,6.0,False,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+IMU_syd_dynamics_TM171:4+Component2:1,"212,209,201",Platinum - Polished,-9.5,37.602,3.3,4597.0,351.6,4864.0,1106.8,-384.5,97.1
MINISFORUM AI X1,MINISFORUM_AI_X1,part,1,1,0,CUSTOM-600G,641.3,128.2,126.2,52.0,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+MINISFORUM AI X1:1,"248,247,237",Nylon 6-6 (White),0.0,-0.004,-25.175,1375867.3,1402789.5,1701810.4,-0.0,-11.3,0.0
VEMONT USB-C Hub Long,VEMONT_USB-C_Hub_Long,part,2,1,0,USB HUB,62.9,172.0,32.8,12.5,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+VEMONT USB-C Hub Long:1,"255,170,0",Steel - Satin,80.914,0.707,0.0,6162.6,557924.1,562385.8,-4400.2,-0.0,0.0
Vention USB Hub,Vention_USB_Hub,subassembly,1,0,3,,43.8,125.5,41.2,40.5,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1,,,54.811,-4.499,0.005,7734.6,174608.1,181609.2,8933.6,-0.0,-23.7
Hub,Hub,part,1,1,0,PAHT-CF (for Bambu H2D) (1),33.0,125.5,24.3,10.6,False,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1+Hub:1,"50,50,50",PAHT-CF (for Bambu H2D),56.992,0.787,0.006,1956.9,148345.6,149625.8,-1788.6,0.0,-23.7
USB Straight,USB_Straight,part,13,1,0,USB Straight,5.4,14.0,6.0,40.5,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+Vention USB Hub:1+USB Straight:1,"0,0,127",Steel - Satin,-0.0,-0.0,5.581,749.8,813.0,91.7,0.0,0.0,0.0
battery_tester,battery_tester,part,2,1,0,ABS Plastic,16.0,28.5,13.3,40.0,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+battery_tester:1,"246,246,243",ABS (White),0.0,6.625,-0.0,3071.8,3218.6,2020.8,0.0,0.0,-0.0
battery_zeee_10000mah,battery_zeee_10000mah,part,2,1,0,BATTERY,1095.6,174.0,49.6,64.1,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+battery_zeee_10000mah:1,"115,115,115",Aluminum - Satin,0.035,-0.009,31.5,1667205.1,4054681.6,2824886.9,842.7,305.7,-1215.8
lumped_wires,lumped_wires,part,1,4,0,main wires; bottom wires; AWG 8,742.1,100.7,154.9,370.0,False,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+lumped_wires:1,"237,206,195",Copper - Polished,3.833,-0.188,232.551,50553892.3,50239536.2,1772133.8,533.4,32361.0,-1796734.1
power_block_casing,power_block_casing,subassembly,2,0,3,,42.5,52.3,55.0,14.2,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5,,,-0.0,0.2,4.952,11848.2,3141.9,11746.5,-0.0,-41.4,0.0
6x10-7holes,6x10-7holes,subassembly,4,0,1,,16.9,52.3,6.1,10.1,True,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5+6x10-7holes:1,,,0.573,-0.0,4.792,627.8,4572.9,4056.3,0.0,0.0,-46.1
block,block,part,4,1,0,Steel,16.9,52.3,6.1,10.1,False,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5+6x10-7holes:1+block:1,"160,160,160",Steel - Satin,0.573,-0.0,4.792,627.8,4572.9,4056.3,0.0,0.0,-46.1
casing,casing,part,2,1,0,ABS Plastic,8.7,21.4,55.0,14.2,False,,body_LATEST:1+3DP_body_05_x1_interior_plate:1+power_block_casing:5+casing:1,"246,246,243",ABS (White),-0.0,0.291,4.794,2646.1,738.7,2562.8,0.0,-10.7,0.0
3DP_body_06_x1_front_plate_fixed,3DP_body_06_x1_front_plate_fixed,part,1,2,0,ABS Plastic 60%infill,73.9,11.3,174.8,351.4,False,,body_LATEST:1+3DP_body_06_x1_front_plate_fixed:1,"32,32,32",ABS (White),60.047,-0.0,229.229,5163058.5,5095032.3,602215.0,0.0,0.0,-1021906.0
3DP_body_07_x1_front_plate_removable,3DP_body_07_x1_front_plate_removable,mixed,1,1,8,ABS Plastic 60%infill,96.9,5.0,157.9,254.7,False,,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1,"32,32,32",ABS (White),60.44,25.544,199.453,5167556.4,4868997.1,1055034.2,-128839.1,-712223.6,-1193585.9
magnet_1/2inD_1/16inT,magnet_1_2inD_1_16inT,part,22,1,0,Steel,1.6,12.7,12.7,1.6,True,,body_LATEST:1+3DP_body_07_x1_front_plate_removable:1+magnet_1/2inD_1/16inT:9,"160,160,160",Steel - Satin,0.0,-0.0,0.794,17.2,17.2,31.8,0.0,0.0,-0.0
3DP_body_08_x1_back_plate_fixed,3DP_body_08_x1_back_plate_fixed,part,1,2,0,ABS Plastic 60%infill,73.2,11.3,174.8,332.7,False,,body_LATEST:1+3DP_body_08_x1_back_plate_fixed:1,"32,32,32",ABS (White),-60.005,0.0,235.619,5269271.2,5199034.6,598919.3,0.0,-0.0,1041221.3
3DP_body_09_x1_back_plate_removable,3DP_body_09_x1_back_plate_removable,mixed,1,1,14,ABS Plastic 60%infill,113.8,13.0,157.9,254.7,False,,body_LATEST:1+3DP_body_09_x1_back_plate_removable:1,"32,32,32",ABS (White),-58.001,-8.912,155.45,4067934.2,4060513.7,885395.1,51930.4,-58878.2,1138039.3
BEARING,BEARING,subassembly,1,0,2,,79.8,58.1,180.1,58.1,False,,body_LATEST:1+BEARING:1,,,0.0,0.022,400.0,13760513.8,12821704.5,993024.5,0.0,-715.9,-0.0
bearing_45x58x7_6809_5.4kN_40g,bearing_45x58x7_6809_5.4kN_40g,subassembly,13,0,2,,39.9,58.1,58.1,7.1,True,,body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:2,,,0.0,-0.0,0.022,13741.6,13741.6,27107.6,-0.0,-0.0,0.0
half-bearing-45x58x7_6809_5.4kN_40g,half-bearing-45x58x7_6809_5.4kN_40g,part,26,26,0,half-steel,19.9,58.0,58.0,7.0,False,,body_LATEST:1+BEARING:1+bearing_45x58x7_6809_5.4kN_40g:2+half-bearing-45x58x7_6809_5.4kN_40g:1,"160,160,160",Steel - Satin,0.0,-0.0,0.022,6870.8,6870.8,13553.8,-0.0,-0.0,0.0
CNC_body01_x1_bottom_plate,CNC_body01_x1_bottom_plate,part,1,1,0,Aluminum 6061,215.4,130.0,180.0,10.2,False,,body_LATEST:1+CNC_body01_x1_bottom_plate:1,"245,245,246",Aluminum - Satin,0.0,0.0,5.389,709543.5,381085.1,1073969.7,0.0,-0.0,0.0
CNC_body02_x2_side_plate,CNC_body02_x2_side_plate,part,2,1,0,Aluminum 6061,411.7,107.5,12.0,407.0,False,,body_LATEST:1+CNC_body02_x2_side_plate:1,"245,245,246",Aluminum - Satin,0.0,85.698,206.887,27012368.4,24448980.9,3494300.6,-1.1,-7301565.3,-4.5
CNC_body03_x1_top_plate,CNC_body03_x1_top_plate,part,1,1,0,Aluminum 6061,163.4,130.0,180.0,8.0,False,,body_LATEST:1+CNC_body03_x1_top_plate:1,"245,245,246",Aluminum - Satin,-0.0,-0.0,2.795,518311.7,271621.5,785598.1,-0.4,-0.0,0.0
CNC_body04_x4_front_plate,CNC_body04_x4_front_plate,part,4,1,0,Aluminum 6061,48.3,11.3,174.8,46.5,False,,body_LATEST:1+CNC_body04_x4_front_plate:1,"245,245,246",Aluminum - Satin,61.395,-0.0,23.695,220638.2,217293.5,368664.9,0.0,0.0,-69972.1
