Type,Item Description,Vendor Link,Alternative Link,Unit Price,QTY (2XC),Total Price,QTY (2XM),Total Price,Note
,Vibra-TITE 213 Threadlocker,"Amazon.com: Vibra-TITE 213 VC-3 Threadmate Threadlocker, -65 to 165 Degree F, 5mL Tube, Red : Automotive",,$6.55,1,$6.55,,,
,Bearing 683 10pcs,uxcell 683-2RS Deep Groove Ball Bearing 3x7x3mm Double Sealed ABEC-3 Bearings 10-Pack: Amazon.com: Industrial & Scientific,,$11.96,1,$11.96,,,
,Bearing 684 10pcs,684ZZ Bearing 4X9X4 mm ABEC-5 (10 PCS) Miniature 684Z Ball Bearings 684 ZZ 618/4ZZ Hobby Emax Motor Quadcopter L-940ZZ Bearing: Amazon.com: Industrial & Scientific,,$7.99,2,$15.98,,,
,Bearing AXK0414,1Pcs Plane Thrust Needle Roller Bearing AXK0414 0515 0619 0821 1024 1226 1528 1730 2035 2542 3047 3552 4060 To 5070+2AS 2Washers - AliExpress 13,https://www.amazon.com/uxcell-Bearings-Diameter-Thickness-Steering/dp/B0DQ8T13KV/ref=sr_1_1?crid=VNI94SPUMXT0&dib=eyJ2IjoiMSJ9.rFsQxgEm9JnaSa9PU3U_2VOC9KxY6Femaok2lP_myW7tJhNoihXE1aEB3BeDJHsr6CLQt17PnuocrIgwMVxhDFw7rmbPIkID9qK4HX9nI-9TKr1uW0feH1P8K8FblxSN6kU-fseK10-g1QN2tkcKTOs93RAcOizojgy8_KIFiuwRoLT8k6rXXKo2XNk-qP7Q5W_IGk2KEUGQ1ju1QPy0b2THkkXjWAQqZx2grfT22n0.bNuHjl66ibqEZrObb6oeDzIrjF3ifcq23tyzvBuUO8s&dib_tag=se&keywords=bearing+axk0414&qid=1757646289&sprefix=bearing+axk0414%2Caps%2C212&sr=8-1,$1.48,30,$44.40,,,
,Bushing 3*5*5 10pcs,"uxcell Sleeve Bearings 3mm Bore x 5mm OD x 5mm Length Plain Bearings Wrapped Oilless Bushings for Sliding Parts of Machinery, 10pcs: Amazon.com: Industrial & Scientific",,$5.99,1,$5.99,,,
,5mm Rubber Tape,https://www.amazon.com/dp/B0CJRMXN3F?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,$16.99,1,$16.99,,,
Electronics,Step Down Power Converter 12V 4.5A,"Pololu - 12V, 4.5A Step-Down Voltage Regulator D36V50F12",,$34.95,2,$69.90,,,
,USB to Mirco USB Cable 0.5 Feet,https://www.amazon.com/CableCreation-Charger-Compatible-Chromecast-Android/dp/B0CGRG7F2Q/ref=sr_1_4?crid=265PO3EEKHKAR&dib=eyJ2IjoiMSJ9.U4RSil9ruXMgFIgljeY3Q6d_uBhvDFjSJuavpqbS0a9CPccKTcNFi6w6xIFghysD5FF1ucUbue65Uol_txCSUczuleAnfSNfjRnUnQFi32nCiq6t2YXtS2tUd8C32p2OrBPqVWygkD1hMjaN2W-qfZRsWQjCa9KC8EvKM110cMt-d3Uw7ETe_Joi8DH7ftzEl2n-fLhgzDdfndb-E1G9VbKxczgjQniwJQgmPcXtTlP9uefYME8XhywSN1Jbtnqu2efUztJlEFENbaIRdJAw-Msp-57H1AarZMtWFM6iv24.txPMcNRqqnKc4pNSQUga3a-wL4oIckjD4_QboVi79SA&dib_tag=se&keywords=usb%2Bto%2Bmicro%2Busb%2Bshort%2Bguides%2B0.5ft&qid=1727842141&s=industrial&sprefix=usb%2Bto%2Bmicro%2Busb%2Bshort%2Btguuds%2B0.5ft%2Cindustrial%2C130&sr=1-4&th=1,,$5.98,1,$5.98,,,
,USB to Mirco USB Cable 1.5 Feet,https://www.amazon.com/dp/B0773N757H?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,$8.99,1,$8.99,,,
,USB Hub Port Splitter,https://www.amazon.com/dp/B088KBGRD9?ref=ppx_yo2ov_dt_b_fed_asin_title,,$6.98,1,$6.98,,,
