Type,Item Description,Vendor Link,Alternative Link,Unit Price,QTY (2XC),Total Price,QTY (2XM),Total Price,Note
,Black Silicone Repair Mat,https://www.amazon.com/gp/product/B08RXMDKWX/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1,,$8.53,1,$8.53,,,
,Heat Shrink Tube,https://www.amazon.com/Ginsco-580-pcs-Assorted-Sleeving/dp/B01MFA3OFA/ref=sr_1_3?crid=43XKJ1YVOEK4&dib=eyJ2IjoiMSJ9.afAtOFc0AWv7IewHnY-SsrP5q0gjhaeFyGoua3fAno4labJK5-d6L-_fBrMVcN0vvcE_zPv9DmmeQ3P0sIKinFBdKCox4IxPh9l58_b90CD0o2EmRxl7MGSArbrdAog8iZ0rcZHqkl96tvjYLXIrgjtUnd-pPT2DQU_p8Wwf5gLA4lBD0BzKLi5WUxvCPvUuOY3lqqFVwXncQYqppNe3HeSJ5ClxfQfWlqCzGgu7Mx4.wvg7WH3AE9_vHhxyLkJDgljIhq3jjK6cvmlzLRNnSeA&dib_tag=se&keywords=heat+shrink+tubing&qid=1737934827&sprefix=heat+shrin%2Caps%2C252&sr=8-3,,$6.99,1,$6.99,,,
,Heat Shrink Butt Connectors 100 pcs,https://www.amazon.com/gp/product/B07GDDKJ1D/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1,,$9.49,1,$9.49,,,
,Helping Hands Soldering,https://www.amazon.com/gp/product/B07MDKXNPC/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1,,$23.99,1,$23.99,,,
,60/40 Tin Lead Solder Wire,https://www.amazon.com/gp/product/B07BGTSWYB/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&th=1,,$9.99,1,$9.99,,,
,,,,,,"$1,976.13",,,
,,,,,,,,,
Additional Features,,,,,,,,,
Safety Stand,20 Set 4040 Connector,https://www.amazon.com/4040-Connector-Corner-Reinforcing-20/dp/B0BS6MG9D5/ref=sr_1_1_sspa?crid=1DG0MET0K366U&dib=eyJ2IjoiMSJ9.Ge-xRkocDU9AxBHuXxM1VcLQKp7TMHDpTNOJWPxKoBMhsp5W_9MIwjJ1WoItJ550Xcz7uV1KSEOLeOs2YoskBHCIdH0jFfQ9l2DhZr_Ur1RJScrFTVOsOuQRpkAwTeNnCKnvGYSEz8Wry2s88W4_qii7S21DIQPaeCmaIyMSiNhkfcc4PoVnAxQS7jGQ51SBaDH77ix9zwzEZIsdjnqDuicJvLAVNjn8VbN5y1suiuM.bdX6LRMAi4L1dK92LhPJBJPHuWh734OG1KDjJMB0PE4&dib_tag=se&keywords=20%2BSet%2B4040%2BConnector&qid=1738372733&sprefix=20%2Bset%2B4040%2Bconnector%2Caps%2C219&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,$24.99,1,$24.99,,,
,4040 Aluminum Extrusion 500mm,https://www.amazon.com/Seekliny-Aluminum-Extrusion-T-Slotted-Accessories/dp/B0CP1XF8XM/ref=sr_1_1_sspa?crid=9E67O5VPVKB5&dib=eyJ2IjoiMSJ9.I5MbF9pxHjPlwv3lgQiE1P8mzqp3L-kiRpj42TurRFxEnvVU_5BgRI_HoKvBFd86ee0bVntkMcPArc6s-2dfILzMzmC42oiU3rKaQk2q3W7tuM35ajfou2L6oGcYGcAs-hlerzeK_cZfLTlSNAGLOwEvu2dsUXx4s9qaVGQWXp2I_HJ4IzeVts1KMesw1Boa5-VE_PtTs9kiJmXV-i13m9rbhYqvrBmwMwxYqIC3iAU.9WpiLlNsqAaED8wCKq25LVCeIe07L5O844Df2wvfGA4&dib_tag=se&keywords=4040%2Baluminum%2Bextrusion%2B1pc&qid=1738365050&sprefix=4040%2Baluminum%2Bextrusion%2B1pc%2Caps%2C157&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,$55.99,1,$55.99,,,
,M5 T-Nuts Screws Kit 200pcs ,https://www.amazon.com/Aluminum-Extrusion-Hexagon-Sliding-Washers/dp/B0C4JTL1MP/ref=sr_1_7_sspa?crid=17UQQUAW3ADJI&dib=eyJ2IjoiMSJ9.STkkBYxj5nXqEqf-j3kkcV39ECbOO83TbJ4YZYd8D3WWSQPuIeO3KXjNL1wgj3vyJABKVzL6j6ZAshEeY012lUnweWhcMo5AzkkOmbVTYc9ZipuviNA11x1ZMe7Eez2ewGRXisDRRLLMbkgcwBdfsHHIKVtwysFYAoWc3gRfY2gNUrEMD6rfJXm460M0BvJ8W28tuDLqIvOSaI8JRgfYcy6chQiyFRsHYGhlLPdMrtA.5eJxZCmh0U9xGzoGvp_x-QHOSvn-Qkmb1NXjMS2MAio&dib_tag=se&keywords=2020%2Bseries%2Bm5%2Bsliding%2Bt%2Bnuts&qid=1738372645&sprefix=2020%2BSeries%2Bm5%2Caps%2C139&sr=8-7-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1,,$13.99,1,$13.99,,,
,2020 Aluminum Extrusion 100mm,https://www.amazon.com/European-Standard-Anodized-Aluminum-Extrusion/dp/B09JSN97Y9/ref=sr_1_3?crid=1Z3GBJWAHAG7O&dib=eyJ2IjoiMSJ9.tipcGPZaiGsYWRIZBogqVZkA627UtF-bhsNOU8rbzyg4w-4gsm42wkKWJLImNjXqGqS3nNNfy797r-pqu7Jgh9V-uvZn68HBnR5V-BcOZDAwu28RhUSXpwLaxkoj8iJq16zPfAA2Dyou03horbQTGGBovJ_haFJUnQQp12Ojr-5bV7c1N62-gNdqN2E-WyOmdy5lC_2_pZZxkhDJlRnXTlDAvFVJ5Yk0lR795mtGJeU.av_0alfMoq6a8-FbbZ_ochj0_eNr3q9iMNbnewIPq1Q&dib_tag=se&keywords=2020%2Bextrusion%2B100mm&qid=1738372819&sprefix=2020%2Bextrusion%2B100mm%2Caps%2C189&sr=8-3&th=1,,$18.99,1,$18.99,,,
Teleoperation,DYNAMIXEL 2XL430-W250-T,https://www.robotis.us/dynamixel-2xl430-w250-t/,,$129.90,6,$779.40,,,
,DYNAMIXEL XC430-T240BB-T ,https://www.robotis.us/dynamixel-xc430-t240bb-t/,,$119.99,2,$239.98,,,
,Dynamixel U2D2 USB Comm Module,https://www.robotis.us/u2d2/,,$32.10,1,$32.10,,,
,Dynamixel U2D2 Power Hub Board Set,https://www.robotis.us/u2d2-power-hub-board-set/?srsltid=AfmBOorqr2W_TiaY-FTKoh5u3evm1mb-_V--NK_BizxAXwZzdGcWUiGB,,$19.00,1,$19.00,,,
,Breadboard Kit,https://www.amazon.com/ELEGOO-Breadboard-Solderless-Breadboards-Electronics/dp/B0CYPVMK9J/ref=sr_1_9?crid=3HCILZ7OQN6DR&dib=eyJ2IjoiMSJ9.b1ZeHUlkFSvPfix-RdR1hml-qYlLWfFEdQlzxiQ3vZB2RqfZyycEgk3-VH6-oyRtQSNZtekesYIoka5oLp7G6n98sA95rx7Lsi1zpU0yf0GMwi_i-JIg4UER1bmwwEuBGunsenE5UqyDfQZYhQ2ves8mcL9NaqJxqj7P0QXmuJbOqbHfw88tL5vjHgNOR8vABwU5KnLiiaDrTCEn3-tU5m62BQ-7a5v5IFV9hQ_sTzS1wp9REJk8Sy7eM74-nHyoIgXo0My_wlwX-G58jBQ2eXbxxktyAuWFWlwpP-aJDcA.6UwZY3eFdIbFxrBz1qXc43YtjWIzYoUyCkSJpGjbWm8&dib_tag=se&keywords=bread+board&qid=1723145385&sprefix=bread+boar%2Caps%2C144&sr=8-9,,$6.99,1,$6.99,,,
,LilyGo T-Display S3,https://www.amazon.com/dp/B09J112YR7?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,$27.50,1,$27.50,,,
,Round Force Sensitive Resistor (FSR),https://www.adafruit.com/product/5475,,$4.46,2,$8.92,,,
,Resistor Kit,https://www.amazon.com/BOJACK-Values-Resistor-Resistors-Assortment/dp/B08FD1XVL6/ref=sr_1_3?crid=35SCE5A556UK5&dib=eyJ2IjoiMSJ9.HDBbky-6Kjku9CW9EH5ql22hd_MQFsWK3wPfJi4PblWknX6HWa4rfBePVcVoQM_jew5muVz2gzkbgKNiBt6JuS41D3XGgsoY0DN0ykccx_VHSj0DVhf3Gzf6scUTgqY0b7qJO17Yiq1u1XXm9-LWoXf5A8lbLrJ3PQvV29ImlekfTye6emPv93zlmCWu63cS5hvSchtvCc3d984vMBT-okwweAJ64MEc1HfKJUBIDrv11MwELx2G_Zbe-6QcG1lyomR-_5wjTrWUQ8ZhVSqKyopUZocbU_Poq1KwHj_jRaw.A7S5k8pUjkjPriHgaUYLPnElWmdYu6ZCSeQkszGwzJA&dib_tag=se&keywords=resistors%2Bassortment%2Bkit&qid=1710652327&s=industrial&sprefix=resistor%2Cindustrial%2C149&sr=1-3&th=1,,$9.99,1,$9.99,,,
,E stop Switch,https://www.amazon.com/dp/B09B2441R7?ref=ppx_yo2ov_dt_b_fed_asin_title,,$6.99,1,$6.99,,,
,Rog Ally X,https://www.bestbuy.com/site/asus-rog-ally-x-7-120hz-fhd-1080p-gaming-handheld-amd-ryzen-z1-extreme-processor-24gb-with-1tb-ssd-black/6583218.p?skuId=6583218,,$900.00,1,$900.00,,,
Battery,21700 Cell,https://mabdelectronics.com/products/samsung-21700-50s-25a-5000mah-battery?variant=44357994479862&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&cmp_id=20308645334&adg_id=&kwd=&device=c&gad_source=1&gclid=CjwKCAjw5mwBhBtEiwAFHDZx6hriZlmc_Q6T8jg8UVxz_LJ8z9YC9bO20Di5tjcPy2IE5Kj4H8wexoCHgUQAvD_BwE,,$8.49,6,$50.94,,,
,21700 Battery Holder,https://www.amazon.com/dp/B0BSDC7L9T?ref=ppx_yo2ov_dt_b_fed_asin_title,,$12.99,1,$12.99,,,
,JST XH balancing plug,https://www.amazon.com/Connector-pre-crimped-Housing-Adapter-Compatible/dp/B08G188ZQ8/ref=sr_1_1?crid=RWIBKRTBC7SG&dib=eyJ2IjoiMSJ9.JzKW86pxNhe1eSdbGNfwP9HDMG2zdUa6-O5FcY8FOIBmLjGzyJXWw00H4BXUTcjC_GaH4Mk6nP7IkOnUnlknjBIVdZXhT0wrCe-W-cwCMD2J-mK3UmDPpPJxuqPtlrK0pIZTHQyuH8MFPbYIgMgRrHJKI_AqdqtpMvPCBnsMot5korqQ7ezkxnntxHkTLXx4RR_TDfBeYIubJSoPBFEefLKoYW2ywwrhFwCG--j1kIM.PIxvf3xX1Db6PnuSmNqNfy5JhEGSa1ReQuOjxJUhOg8&dib_tag=se&keywords=jst%2Bxh%2Bprecrimped%2Bkit&qid=1756096992&sprefix=jst%2Bxh%2Bprecrimped%2Bki%2Caps%2C196&sr=8-1&th=1,,$16.99,1,$16.99,,,
SysID,Portable Bench Clamp,https://www.amazon.com/dp/B09ZKF5WR7?ref=ppx_yo2ov_dt_b_fed_asin_title,,$26.98,1,$26.98,,,
,,,,,,"$2,252.73",,,
