fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path
PHS_1_7X20_5_DC10_3_3,PHS_1_7X20_5_DC10_3_3,part,8,1,0,0.057g/mm3,0.2,2.8,21.3,2.8,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1+PHS_1_7X20_5_DC10_3_3:1
WJ-WK00-0412-TOPCABINET_74,WJ-WK00-0412-TOPCABINET_74,part,2,1,0,0.057g/mm3,11.9,20.0,34.0,4.2,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1+WJ-WK00-0412-TOPCABINET_74:1
WJ-WK00-0413-MIDDLECASE_80,WJ-WK00-0413-MIDDLECASE_80,part,2,1,0,0.057g/mm3,9.0,20.0,34.0,15.0,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1+WJ-WK00-0413-MIDDLECASE_80:1
WJ-WK00-414-BOTTOMCASE_48,WJ-WK00-414-BOTTOMCASE_48,part,2,1,0,0.057g/mm3,6.6,20.0,34.0,7.7,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1+WJ-WK00-414-BOTTOMCASE_48:1
M2-10-6_2,M2-10-6_2,part,4,1,0,0.057g/mm3,0.2,3.2,7.0,3.2,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+M2-10-6_2:1
M2-4LOUSI_1,M2-4LOUSI_1,part,4,1,0,0.057g/mm3,0.1,3.5,5.6,3.5,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+M2-4LOUSI_1:1
MF85ZZ_1,MF85ZZ_1,part,2,1,0,0.057g/mm3,0.5,9.2,2.5,9.2,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+MF85ZZ_1:1
OUTGEAR_ASM_11_ASM,OUTGEAR_ASM_11_ASM,subassembly,2,0,1,,3.1,16.3,16.3,12.1,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+OUTGEAR_ASM_11_ASM:1
OUTPUTGEAR_40,OUTPUTGEAR_40,part,2,1,0,0.057g/mm3,3.1,16.3,16.3,12.1,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+OUTGEAR_ASM_11_ASM:1+OUTPUTGEAR_40:1
PCBA_1,PCBA_1,part,2,1,0,0.057g/mm3,1.3,13.0,16.2,2.7,False,,dovetail_umi_gripper:1+FEETECH_HL_3915_Servo_Motor:1+HL-3608_ASM_121_ASM:1+PCBA_1:1
